ingredient,reference,proxy_type (1:nutri 2:impact)
en:lemon-fibre,en:lemon-puree,2
en:lemon-powder,en:lemon-peel,2
en:lemon-vinaigrette,en:vinaigrette,
en:liquid-coffee-extract,en:coffee-extract,
en:liquorice-root,en:liquorice,
en:liquorice-root-extract,en:liquorice-extract,
en:lovage-leaves,en:lovage,
en:magnesium-acetate,en:magnesium,
en:malbec,en:grape,
en:malted-wholemeal-rye-flour,en:wholemeal-rye-flour,
en:manganese-citrate,en:manganese,
en:mantis-shrimp,en:shrimp,
en:mate,en:herb,
en:merlot,en:grape,
en:south-pacific-hake,en:deep-water-cape-hake,
en:mild-whole-yogurt,en:whole-yogurt,
en:milk-filling,en:milk,2
en:milk-protein-concentrate,en:milk-proteins,
en:milkcap,en:mushroom,
en:mint-flavouring,en:mint,
en:mix-of-flower-honeys,en:flower-honey,
en:modified-milk-ingredients,en:milk,
en:mourvedre,en:grape,
en:mushroom-extract,en:champignon,
en:musky-octopus,en:octopus,
en:must,en:grape,
en:natural-almond-flavouring,en:almond,
en:natural-apricot-flavouring,en:apricot,
en:natural-banana-flavouring,en:banana,
en:natural-bergamot-orange-flavouring,en:orange,
en:natural-blueberry-flavouring,en:blueberry,
en:caramel,en:caramelised-sugar,
en:natural-caramel-flavouring,en:caramel,
en:natural-carrot-flavouring,en:carrot,
en:natural-cheddar-flavouring,en:cheddar,
en:natural-cheese-flavouring,en:cheese,
en:natural-cherry-flavouring,en:cherry,
en:natural-chicken-flavouring,en:chicken,
en:natural-chocolate-flavouring,en:chocolate,
en:cinammon,fr:cannelle-de-ceylan,
en:natural-cinammon-flavouring,en:cinammon,
en:natural-citrus-flavouring,en:orange,
en:natural-tarragon-flavouring,en:tarragon,
en:natural-fig-flavouring,en:fig,
en:natural-fish-flavouring,en:fish,
en:natural-flavor-of-turmeric,en:turmeric,
en:natural-fruits-flavouring,en:fruit,
en:natural-ginger-flavouring,en:ginger,
en:natural-goat-cheese-flavouring,en:goat-cheese,
en:natural-herbs-flavouring,en:herb,
en:natural-honey-flavouring,en:honey,
en:natural-hot-pepper-flavouring,en:chili-pepper,
en:natural-mandarin-orange-flavour,en:mandarin,
en:natural-mango-flavouring,en:mango,
en:natural-milk-flavouring,en:milk,
en:natural-mint-flavouring,en:mint,
en:natural-nut-flavouring,en:nut,
en:natural-orange-blossom-flavouring,en:orange,2
en:natural-orange-flavouring,en:orange,
en:natural-oregano-flavouring,en:oregano,
en:natural-paprika-flavor,en:paprika,
en:natural-peach-flavouring,en:peach,
en:natural-pear-flavouring,en:pear,
en:natural-pepper-flavouring,en:black-pepper,
en:natural-peppermint-flavouring,en:peppermint,
en:natural-pork-flavouring,en:pork,
en:natural-poultry-flavouring,en:poultry,
en:rum,fr:rhum-blanc-agricole,
en:natural-rum-flavouring,en:rum,
en:natural-sage-flavouring,en:sage,
en:natural-salmon-flavouring,en:salmon,
en:natural-shallot-flavouring,en:shallot,
en:natural-sour-almond-flavouring,en:almond,
en:natural-sweet-lime-flavouring,en:lime,
en:natural-tarragon-flavouring,en:tarragon,
en:natural-tea-flavouring,en:tea,
en:natural-thyme-flavouring,en:thyme,
en:nibbed-and-ground-hazelnuts,en:ground-hazelnuts,
en:nutmeg-extract,en:nutmeg,
en:oarfish,en:fish,
en:oligofructose-syrup,en:fructose-syrup,
en:chum-salmon,en:rainbow-trout,
en:sockeye-salmon,en:chum-salmon,
en:onion-extract,en:onion,
en:onion-flavouring,en:onion,
en:orange-flavouring,en:orange,
en:oregano-extract,en:oregano,
en:organic-almond-flour,en:almond,
en:organic-aniseed,en:aniseed,
en:organic-cocoa-beans,en:cocoa-bean,
