ingredient,reference,proxy_type (1:nutri 2:impact)
en:acorn-fed-iberian-pig,en:pork,
en:pigs-blood,en:pork,2
en:pigs-trotters,en:pork,
en:pepperoni,en:pork,2
en:pork-by-product,en:pork,2
fr:tissu-conjonctif-de-porc,en:pork,2
fr:plasma-de-porc,en:pork-by-product,1
fr:proteines-de-sang-de-porc,en:pork-by-product,1
en:dewlap,en:pork-meat,
en:pig-cheek,en:pork-meat,
fr:chipolatas-aux-herbes,en:pork-meat,1
fr:viande-de-porc-traitee-en-salaison,en:pork-meat,2
fr:viande-separee-mecaniquement-de-porc,en:pork-meat,2
en:organic-potato,en:potato,1
en:potato-powder,en:potato,1
en:russet-potatoes,en:potato,1
fr:pommes-de-terre-de-consommation-a-chair-ferme,en:potato,
en:modified-potato-starch,en:potato-starch,
fr:amidons-de-ble-et-de-pomme-de-terre,en:potato-starch,2
fr:amidons-modifies-de-mais-et-de-pomme-de-terre,en:potato-starch,2
en:quail,en:poultry,2
fr:fond-de-volaille-aromatise,en:poultry-broth,
de:hühnerei-trockeneiweiß,en:powdered-egg-white,
nl:scharrelei-eiwitpoeder,en:powdered-egg-white,
nl:vrije-uitloopei-eiwitpoeder,en:powdered-egg-white,
fr:pruneaux-d-agen,en:prune,1
en:prune-juice,en:prune,2
fr:concentre-de-carotte-et-de-citrouille,en:pumpkin,
fr:concentre-de-citrouille,en:pumpkin,1
de:sauermilchquark,en:quark,1
de:speisequarkzubereitung,en:quark,1
fi:rasvaton-rahka,en:quark,1
nl:volle-kwark,en:quark,1
en:quince-jelly,en:quince,2
de:quinoa-gepufft,en:quinoa,
en:black-quinoa,en:quinoa,
en:quinoa-seeds,en:quinoa,
en:white-quinoa,en:quinoa,1
en:quinoa-flour,en:quinoa,2
en:white-quinoa-flour,en:quinoa,2
en:daikon,en:radish,2
en:rainbow-trout-fillet,en:rainbow-trout,1
en:smoked-rainbow-trout,en:rainbow-trout,1
fi:rapsi-ja-auringonkukkaöljy,en:rapeseed-oil,
en:canola-oil,en:rapeseed-oil,2
en:raspberry-juice,en:raspberry,1
en:raspberry-powder,en:raspberry,2
en:red-raspberries,en:raspberry,1
fr:variete-willamette,en:raspberry,
fr:haricots-rouges-precuits,en:red-beans,1
fr:haricots-rouges-rehydrates,en:red-beans,1
en:red-beetroot-juice,en:red-beetroot,1
fr:betterave-rouge-deshydratee,en:red-beetroot,1
en:red-chili-puree,en:red-chili-pepper,1
en:red-pepper-seed-oil,en:red-chili-pepper,1
en:green-and-red-lentils,en:red-lentils,1
en:organic-red-lentils,en:red-lentils,1
en:marinated-red-onion,en:red-onion,1
en:red-and-green-bell-peppers,en:red-bell-pepper,1
fr:quinoa-rouge-et-blanc,en:red-quinoa,
en:arborio-rice,en:rice,1
en:black-rice,en:rice,1
en:camargue-rice,en:rice,1
en:extruded-rice,en:rice,
en:germinated-rice,en:rice,1
en:long-grain-rice,en:rice,1
en:organic-rice,en:rice,1
en:rice-extract,en:rice,1
en:rice-semolina,en:rice,1
en:risotto-rice,en:rice,1
en:round-rice,en:rice,1
en:sushi-rice,en:rice,
fr:creme-de-riz,en:rice,2
fr:riz-gluant,en:rice,
fr:riz-moulu,en:rice,
fr:riz-pour-risotto-etuve,en:rice,1
en:rice-cream,en:rice,2
fr:riz-precuit,en:rice,2
en:pregelatinized-rice-flour,en:rice-flour,1
en:organic-roasted-peanuts,en:roasted-peanuts,1
en:baby-arugula,en:rocket,
en:lightly-smoked-cod-roe,en:roe,1
en:water-chestnut,en:root-vegetable,1
en:rosemary-extract,en:rosemary,
de:roggengrießkleie,en:rye,
de:roggenschrot,en:rye,
en:rye-malt,en:rye,1
en:wholemeal-rye,en:rye,1
en:rye-grains,en:rye,2
en:rye-sirup,en:rye,2
en:grated-rye-bread,en:rye-bread,2
en:pregelatinized-rye-flour,en:rye-flour,
en:sifted-rye-flour,en:rye-flour,1
en:sage-extract,en:sage,1
nl:koolvisfilet,en:saithe,
en:wild-rocket,en:salad,
fr:batavia,en:salad,
fr:salade-composee,en:salad,
de:steinsalz,en:salt,
en:himalayan-salt,en:salt,
en:smoked-salt,en:salt,1
en:sodium-iodide,en:salt,1
nl:mineraalzout,en:salt,
fr:concentre-salin-liquide,en:salt,2
en:precooked-sardine,en:sardine,1
fr:sardines-selectionnees,en:sardine,
en:precooked-sardine-fillets,en:sardine-fillets,1
en:atlantic-calico-scallop,en:scallop,1
en:distant-scallop,en:scallop,
en:patagonian-scallop,en:scallop,
en:peruvian-scallop,en:scallop,
en:speckled-scallop,en:scallop,
en:white-scallop,en:scallop,1
en:porgies,en:sea-breams,
en:celtic-sea-salt,en:sea-salt,
en:himalayan-sea-salt,en:sea-salt,
en:iodised-sea-salt,en:sea-salt,1
en:salt-from-noirmoutier,en:sea-salt,
fr:sel-gros-de-mer,en:sea-salt,
en:salt-from-guerande,en:sea-salt,2
de:frische-fettarme-milch,en:semi-skimmed-milk,
en:fresh-organic-pasteurised-semi-skimmed-milk,en:semi-skimmed-milk,1
fr:lait-de-montagne-partiellement-ecreme,en:semi-skimmed-milk,1
fr:sesame-dore,en:sesame,1
en:organic-sesame-seeds,en:sesame-seeds,1
en:concentrated-shallot-juice,en:shallot,1
fr:pulpe-d-echalote,en:shallot,1
en:grey-shrimp,en:shrimp,1
en:heterocarpus,en:shrimp,
en:northern-prawn,en:shrimp,1
en:pandalus-jordani,en:shrimp,
en:parapenaeopsis-stylifera,en:shrimp,
en:scarlet-shrimp,en:shrimp,
fr:crevettes-decortiquees,en:shrimp,1
fr:crevettes-entieres-crues,en:shrimp,1
fr:crevettes-roses,en:shrimp,1
fr:queues-de-crevettes,en:shrimp,1
la:metapenaeus-affinis,en:shrimp,
la:solenocera-crassicornis,en:shrimp,
la:solenocera-spp,en:shrimp,
es:leche-desnatada-en-polvo-reconstituida,en:skimmed-milk-powder,
nl:magere-melkpoeder-van-biologische-oorsprong,en:skimmed-milk-powder,
fr:chairs-d-escargots,en:snail,1
la:helix-aspersa,en:snail,1
la:helix-lucorum,en:snail,1
la:helix-pomatia,en:snail,1
en:skimmed-soft-white-cheese,en:soft-white-cheese,
fr:fromage-frais-a-0-de-matiere-grasse,en:soft-white-cheese,1
fr:fromage-frais-a-la-ciboulette,en:soft-white-cheese,1
fr:fromage-frais-au-lait-demi-ecreme,en:soft-white-cheese,1
en:sorghum-flour,en:sorghum,2
de:sauerkirschsaft-aus-sauerkirschsaftkonzentrat,en:sour-cherry,
en:sour-cherry-juice,en:sour-cherry,1
en:light-soy-sauce,en:soy-sauce,
de:sojaerzeugnis,en:soya,
en:soy-grits,en:soya,
en:soya-base,en:soya,
en:soya-bean,en:soya,1
en:texturised-soya-protein,en:soya,2
es:concentrado-de-soja,en:soya,
fr:pousses-de-soja,en:soya,1
en:soy-base,en:soya,2
en:soy-bran,en:soya,2
fr:pain-special-viennois,en:special-bread,1
en:sesame-seed-bun,en:special-bread,2
fr:pain-special-bretzel,en:special-bread,2
en:inflated-spelt,en:spelt,
en:organic-spelt,en:spelt,1
en:sprouted-spelt,en:spelt,
en:whole-spelt,en:spelt,
fr:flocons-d-epeautre,en:spelt,2
en:kaffir-lime-leaf,en:spice,
en:lemon-leaf,en:spice,
en:lime-leaf,en:spice,
en:natural-spices,en:spice,
en:spices-and-spices-extracts,en:spice,
fr:epices-et-aromes,en:spice,
fr:epices-moulues,en:spice,
nl:speculaaskruiden,en:spice,
en:mace,en:spice,2
fr:epinards-en-branches,en:spinach,
fr:epinards-haches,en:spinach,1
fr:feuille-d-epinards,en:spinach,
fr:tetes-et-pinces-de-langoustines,en:spiny-lobster,
fr:eau-de-source-st-benoit,en:spring-water,2
en:argentine-shortfin-squid,en:squid,
en:baby-squid,en:squid,1
en:humboldt-squid,en:squid,
en:indian-squid,en:squid,1
en:mitre-squid,en:squid,1
en:patagonian-squid,en:squid,1
en:swordtip-squid,en:squid,1
en:teuthida,en:squid,
fr:anneaux-de-calmar,en:squid,
fr:calmar-geant,en:squid,
en:barley-starch,en:starch,1
en:rice-starch,en:starch,1
en:wheat-starch,en:starch,2
fr:amidons-de-ble-et-de-pomme-de-terre,en:starch,2
fr:lait-de-vache-bio-thermise,en:sterilised-milk,2
fi:mansikoista-valmistettu-mehu-ja-viinirypäleet,en:strawberry,
en:strawberry-powder,en:strawberry,2
en:concentrated-strawberry-puree,en:strawberry-puree,1
en:sugared,en:sugar,
en:trehalose,en:sugar,1
fr:sucres-extraits-de-fruits,en:sugar,1
en:cane-sugar-syrup,en:cane-sugar,2
en:unrefined-sugar,en:cane-sugar,2
fr:petales-de-tournesol,en:sunflower,2
fr:emulsifiant-lecithine-de-tournesol,en:sunflower-lecithin,2
en:high-oleic-sunflower,en:sunflower-oil,1
fi:rapsi-ja-auringonkukkaöljy,en:sunflower-oil,
fr:oleisol,en:sunflower-oil,
en:cyclamate,en:sweetener,1
en:erythritol,en:sweetener,1
en:oligosaccharides,en:sweetener,1
en:saccharin,en:sweetener,1
en:malt-syrup,en:syrup,1
en:tapioca-syrup,en:syrup,1
nl:tamarindepuree,en:tamarind,
en:tamarind-paste,en:tamarind,2
en:modified-tapioca-starch,en:tapioca-starch,2
en:blaack-thai-rice,en:thai-rice,1
en:thai-long-grain-rice,en:thai-rice,1
en:fresh-tomatoes,en:tomato,1
en:grilled-tomato,en:tomato,1
en:organic-tomato,en:tomato,1
en:tomato-puree,en:tomato,1
en:tomatoes-in-tomato-juice,en:tomato,
en:organic-tomato-cubes-in-organic-tomato-juice,en:tomato-cubes,1
en:tomatoes-in-tomato-juice,en:tomato-juice,
fr:jus-de-tomate-a-partir-de-concentre,en:tomato-juice,2
fr:puree-et-pulpe-de-tomates,en:tomato-pulp,1
en:bitter-almond,en:almond,1
en:cola-nut,en:tree-nut,
en:tigernut,en:tree-nut,
en:ginkgo-nuts,en:tree-nut,2
en:tuna-steak,en:tuna,1
en:roasted-turkey-including-natural-turkey-juices,en:turkey,
de:putenfleisch,en:turkey-meat,
en:turmeric-extract,en:turmeric,
en:sterilized-uht-cream,en:cream,1
en:organic-uht-sterilised-skimmed-milk,en:uht-sterilised-skimmed-milk,1
en:aloe-vera,en:vegetable,1
en:flat-endive,en:vegetable,1
en:pisto,en:vegetable,1
en:tuber,en:vegetable,1
en:vegetable-concentrate,en:vegetable,1
en:vegetables-in-variable-proportion,en:vegetable,1
fr:jus-de-legumes-concentres,en:vegetable,1
fr:legumes-frais,en:vegetable,1
en:coconut-fat,en:vegetable-fat,1
en:hydrogenated-vegetable-fat,en:vegetable-fat,1
en:illipe-oil,en:vegetable-fat,1
en:non-hydrogenated-vegetable-fats,en:vegetable-fat,1
en:sal-fat,en:vegetable-fat,1
en:vegetable-suet,en:vegetable-fat,1
fr:preparation-de-matieres-grasses-vegetales,en:vegetable-fat,
en:non-hydrogenated-vegetable-oils,en:vegetable-oil,1
en:pistachio-seed-oil,en:vegetable-oil,1
en:shea-oil,en:vegetable-oil,1
en:shorea-robusta-seed-oil,en:vegetable-oil,1
fr:huile-vegetale-raffinee,en:vegetable-oil,2
en:non-hydrogenated-vegetable-oil-and-fat,en:vegetable-oil,2
fr:vermicelles-cuits,en:vermicelli,1
fr:huile-vierge-de-noix,en:walnut-oil,2
en:distilled-water,en:water,1
en:water-like-ice-wrap,en:water,1
fr:eau-et-sel,en:water,1
fr:eau-potable,en:water,1
en:einkorn-wheat,en:wheat,1
en:graham-flour,en:wheat,
en:wheat-malt,en:wheat,1
fr:petales-de-ble,en:wheat,1
en:puffed-wheat,en:wheat,2
en:seitan,en:wheat,2
en:sprouted-wheat,en:wheat,2
de:weissmehl,en:wheat-flour,1
de:weizenquellmehl,en:wheat-flour,
en:durum-wheat-flour,en:wheat-flour,1
en:fortified-wheat-flour,en:wheat-flour,1
en:wheat-flour-type-00,en:wheat-flour,1
es:harina-de-trigo-enriquecida-segun-ley-25630,en:wheat-flour,
fr:farine-de-germes-de-ble-stabilise,en:wheat-flour,
fr:farine-de-gonflement-de-ble,en:wheat-flour,
fr:farine-mi-blanche,en:wheat-flour,1
de:weizenquellstärke,en:wheat-starch,
en:pregelatinized-wheat-starch,en:wheat-starch,1
fr:haricots-mogettes,en:white-beans,1
en:white-wine-extract,en:white-wine,1
en:raw-whole-cow-s-milk,en:whole-cow-s-milk,
en:raw-cow-s-milk,en:whole-cow-s-milk,
en:fresh-whole-milk,en:whole-milk,1
en:pedro-ximenez-wine,en:wine,
en:sauternes,en:wine,
en:stale-wine,en:wine,1
en:organic-wine,en:wine,2
fr:vin-aromatise,en:wine,2
en:torula-yeast,en:yeast,
en:yeast-extract,en:yeast,
de:joghurterzeugnis,en:yogurt,
de:joghurtpulver,en:yogurt,1
en:organic-yogurt,en:yogurt,1
en:skimmed-yogurt,en:yogurt,1
en:whole-milk-yogurt,en:yogurt,1
en:british-yogurt,en:yogurt,2
en:mild-yogurt,en:yogurt,2
fr:yaourt-brasse-sucre,en:yogurt,2
fr:yogourt-partiellement-ecreme,en:yogurt,2
en:british-chicken-breast,en:chicken-breast,
fr:grains-de-ble-dur-precuits,fr:ble-dur-precuit,1
fr:eau-de-source-st-benoit-gazeifiee,en:carbonated-spring-water,2
fr:foie-gras-de-canard-du-sud-ouest,en:duck-foie-gras,
fr:gesiers-de-canard-maigre-traites-en-salaison,en:duck-gizzards,
en:mung-bean-sprout,en:mung-bean,
en:round-green-beans,en:green-bean,
fr:haricots-vertes-tres-fins-coupes,fr:haricots-verts-tres-fins,1
fr:haricots-vertes-tres-fins-coupes,fr:haricots-verts-coupes,1
en:fully-hydrogenated-vegetable-oils,en:vegetable-oil,
en:concentrated-mandarin-juice,fr:jus-de-mandarine,1
en:red-grape-from-concentrate,en:grape-juice,2
de:nährhefepulver,en:nutritional-yeast,
de:gekochte-maronen,fr:marron,
fr:marrons-entiers,fr:marron,
fr:marrons-ue,fr:marron,1
fr:puree-de-marrons,fr:marron,1
de:fischmuskeleiweiß,en:fish,
en:fishpowder,en:fish,
en:oily-fish,en:fish,
en:scorpion-fish,en:fish,
en:thread-fin-bream,en:fish,
en:weever,en:fish,
fr:extrait-de-poisson,en:fish,
fr:lieu,en:fish,
fr:poissons-entiers-peches-en-mediterranee,en:fish,
fr:poissons-et-crustaces-mis-en-oeuvre,en:fish,
en:flounder,en:fish,
en:monkfish,en:fish,
en:roe,en:fish,2
en:tilapia,en:fish,2
fr:brochet,en:fish,2
en:concord-grape,en:black-grape,
en:blue-fenugreek,en:herb,1
en:burnet,en:herb,1
en:lavender,en:herb,1
en:marigold,en:herb,1
en:tulsi,en:herb,1
fr:ail-et-fines-herbes,en:herb,1
fr:extraits-naturels-et-aromates,en:herb,1
de:steviablätter,en:plant,1
en:ashwagandha,en:plant,1
en:common-mallow,en:plant,1
en:ginseng,en:plant,1
en:guarana,en:plant,1
en:hops,en:plant,1
en:lemon-beebrush,en:plant,1
en:mallow,en:plant,1
en:marsh-mallow,en:plant,1
en:meadowsweet,en:plant,1
en:orange-leaves,en:plant,1
en:plant-concentrates,en:plant,1
en:ribwort-plantain,en:plant,1
fr:feuilles-de-mures-douces,en:plant,1
fr:feuilles-de-murier,en:plant,1
fr:fleur-d-oranger,en:plant,1
fr:pin-sylvestre,en:plant,1
en:absinthe,en:alcohol,
en:campari,en:alcohol,
en:cava,en:alcohol,
en:cointreau,en:alcohol,
en:ethanol,en:alcohol,
en:kirsch,en:alcohol,
en:pomace-brandy,en:alcohol,1
en:whiskeys,en:alcohol,
en:asiago-medium-cheese,en:asiago,1
en:barley-extract,en:barley,
fr:cafe-arabica-decafeine-torrefie,en:decaffeinated-coffee,
fr:cafe-doux-sans-cafeine,en:decaffeinated-coffee,
en:fontal,en:fontina,
en:red-and-green-bell-peppers,en:green-bell-pepper,1
en:sambal,en:hot-sauce,
fi:kinkkuvalmiste,en:meat,
en:pleurotus-ostreatus,en:oyster-mushroom,1
en:pepper-extract,en:pepper,
en:persimmon-juice,en:persimmon,
en:plum-sugar,en:plum,
en:reindeer-shoulder,en:reindeer-meat,1
en:strawberry-juice-concentrate,en:strawberry-juice,
en:farmed-tilapia,en:tilapia,1
en:mozambique-tilapia,en:tilapia,1
en:nile-tilapia,en:tilapia,1
en:tilapia-fillet,en:tilapia,1
en:unrefined-cane-sugar,en:unrefined-sugar,1
en:unrefined-whole-cane-sugar,en:cane-sugar,
en:british-wholegrain-oat-flakes,en:whole-grain-oat-flakes,
en:algae-extract,en:algae,
en:chlorella,en:algae,
en:seaweed,en:algae,
en:calf-fat,en:animal-fat,1
en:beef-fat,en:animal-fat,2
en:suet,en:animal-fat,2
de:getrockneter-gerstenmalzextrakt,en:barley-malt-extract,1
de:rinderknochenmarkfett,en:beef-fat,1
en:buttermilk-solids,fr:beurre-pasteurise-doux,
fr:babeurre-pasteurise,fr:beurre-pasteurise-doux,
en:buttermilk-powder,fr:beurre-pasteurise-doux,2
de:getreideflocken,en:cereal,1
en:amaranth,en:cereal,1
en:cereal-and-seed-mixture,en:cereal,1
en:crunchy-cereals,en:cereal,1
fr:billes-de-cereales,en:cereal,1
fr:billettes-de-cereales,en:cereal,1
fr:cereales-biscuitees,en:cereal,1
fi:omena-päärynä-ja-rypäletäysmehu-tiivisteestä,en:concentrated-apple-juice,
en:apple-juice-from-concentrate,en:concentrated-apple-juice,2
fi:omena-päärynä-ja-rypäletäysmehu-tiivisteestä,en:concentrated-grape-juice,1
en:organic-concentrated-white-grape-juice,en:grape-juice,
en:corn-syrup-solids,en:corn-syrup,1
en:malted-corn-syrup,en:corn-syrup,1
es:sirope-de-glucosa-de-maiz,en:corn-syrup,1
en:inedible-crust,en:crust,1
fr:oignon-grille-en-poudre,en:fried-onion,2
en:bitter-orange,en:fruit,
en:boabab,en:fruit,1
en:citrus-fruit,en:fruit,1
en:custard-apple,en:fruit,1
en:lukuma,en:fruit,1
en:medlar,en:fruit,1
en:red-fruits,en:fruit,
en:sea-buckthorn,en:fruit,1
en:tamarillo,en:fruit,1
en:vine-fruit,en:fruit,
fr:fruits-des-bois,en:fruit,
fr:specialite-de-fruits-pomme-poire,en:apple,
fr:specialite-de-fruits-pomme-poire,en:pear,
en:fruit-concentrates,en:fruit,2
fr:fruits-confits,en:fruit,2
fr:jus-concentre-de-fruits-rouges,en:fruit-juice-concentrate,1
en:barley-gluten,en:gluten,1
en:hemp-seed-flour,en:hemp-seed,1
en:hemp-seed-oil,en:hemp-seed,1
en:chipotle,en:jalapeno,1
en:green-jalapeno-peppers,en:jalapeno,1
en:wholemeal-lentil-flour,en:lentil-flour,
en:caramel-malt,en:malt,1
en:extract-of-corn-malt,en:malt,1
en:malted-wholemeal-rye-flakes,en:malt,1
en:rye-malt,en:malt,1
en:wheat-malt,en:malt,1
nl:moutmeel,en:malt,1
en:barley-malt-extract,en:malted-barley,2
en:casein,en:milk-proteins,1
en:hydrolysed-milk-protein,en:milk-proteins,1
en:lactose-and-milk-proteins,en:milk-proteins,1
fr:proteines-de-petit-lait,en:milk-proteins,1
en:sprouted-millet,en:millet,1
fr:graines-de-moutarde-issues-de-l-agriculture-durable,en:mustard-seed,
en:yellow-mustard-seed,en:mustard-seed,2
en:nettle-leaf,en:nettle,1
de:röstzwiebelpulver,en:onion-powder,
en:hydrolised-pea-protein,en:pea-protein,1
en:hydrolysed-pea-protein,en:pea-protein,1
en:rehydrated-pea-protein,en:pea-protein,1
fr:jus-de-poire-concentre,en:pear,1
en:ribwort-plantain,en:plantain,1
en:organic-pumpkin-seed,en:pumpkin-seed,1
en:pumpkin-seed-flour,en:pumpkin-seed,2
en:concentrated-puree,en:puree,
fr:puree-et-puree-concentree,en:puree,
de:reisdrinkpulver,en:rice-syrup,1
en:brown-rice-syrup,en:rice-syrup,1
en:caramelised-rice-syrup,en:rice-syrup,1
fi:ruismallas-ja-ruismallasuute,en:rye-malt-extract,1
en:safflower-concentrate,en:safflower,1
en:mirin,en:sauce,1
en:remoulade-sauce,en:sauce,1
fr:preparation-deshydratee-pour-sauce,en:sauce,1
fr:sauce-aux-fruits-rouges,en:sauce,1
en:processed-euchema-algae,en:seaweed,1
en:seaweed-extract,en:seaweed,1
fr:algues-bretonnes,en:seaweed,1
fr:algues-de-bretagne-nord,en:seaweed,1
fr:paillettes-d-algues,en:seaweed,1
la:porphyra-yezoensis,en:seaweed,1
en:cereal-and-seed-mixture,en:seed,
de:schmand,en:sour-cream,
en:smetana,en:sour-cream,
de:sojaeiweißkonzentrat,en:soy-protein,
en:dehydrated-soy-protein,en:soy-protein,2
en:soy-protein-isolate,en:soy-protein,2
fr:concentre-de-proteines-de-soja,en:soy-protein,2
fr:proteines-de-soja-i-p,en:soy-protein,2
en:prunus-avium,en:sweet-cherry,
fr:bigarreaux-confits,en:sweet-cherry,
fr:preparation-de-tomates-decongelee,en:tomato-sauce,1
en:pure-vanilla,en:vanilla,
en:vanilla-seeds,en:vanilla,1
fr:huile-de-coco-vierge-biologique,en:virgin-coconut-oil,1
fr:gluten-vital-de-ble,en:wheat-gluten,2
de:molkeneiweißkäse,en:whey,
de:sauermolke,en:whey,
en:concentrated-whey,en:whey,1
en:condensed-whey,en:whey,
en:demineralised-whey,en:whey,
en:sheep-s-whey,en:whey,
en:sweet-whey,en:whey,2
de:eiweißangereichertes-molkenpulver,en:whey-powder,
en:partially-demineralized-powdered-whey,en:whey-powder,
nl:vegetarisch-weipoeder,en:whey-powder,
en:autolyzed-yeast-extract,en:yeast-extract,1
en:boysenberry-juice,en:boysenberry,1
en:mukimame,en:edamame,1
en:ivory-teff-flour,en:teff,1
en:teff-flour,en:teff,1
en:teff-seed,en:teff,1
en:whole-grain-ivory-teff-flour,en:teff,1
en:whole-grain-teff-seed,en:teff,1
fr:teff-souffle,en:teff,1
en:pasteurized-whipping-cream,en:cream,2
en:ammonium-and-sodium-carbonates,en:e500,1
en:diphosphates-and-sodium-carbonates,en:e500,1
en:e500i,en:e500,1
en:e500iii,en:e500,1
en:emulsifier-mono-and-diglycerides-of-fatty-acids,en:e471,1
en:mono-and-diglycerides-of-fatty-acids-of-vegetable-origin,en:e471,1
fr:mono-et-diglycerides-d-acides-gras-et-stearoyl-2-lactylate-de-sodium,en:e471,1
fr:epaississant-e415,en:e415,1
fr:glycerol-de-colza-et-gomme-xanthane,en:e415,1
en:lactose-and-milk-proteins,en:lactose,1
fr:lactose-et-mineraux-du-lait,en:lactose,1
en:e440aii,en:e440a,1
en:e440aiii,en:e440a,1
en:e440aiv,en:e440a,1
en:e440i,en:e440a,1
en:e440ii,en:e440a,1
en:fruit-pectin,en:e440a,1
en:calcium-dihydrogen-diphosphate,en:e450,1
en:dicalcium-pyrophosphate,en:e450,1
en:diphosphates-and-sodium-carbonates,en:e450,1
en:dipotassium-dihydrogenpyrophosphate,en:e450,1
en:disodium-diphosphate,en:e450,1
en:e450-stabilizer,en:e450,1
en:e450ii,en:e450,1
en:e450iii,en:e450,1
en:e450iv,en:e450,1
en:e450v,en:e450,1
en:e450vi,en:e450,1
en:e450vii,en:e450,1
en:e450viii,en:e450,1
en:tetrapotassium-diphosphate,en:e450,1
en:tetrasodium-diphosphate,en:e450,1
en:trisodium-diphosphate,en:e450,1
en:peruvian-carob-gum,fr:farine-de-graines-de-caroube-et-farine-de-graines-de-guar,1
en:e101i,en:e101,1
en:e101ii,en:e101,1
en:nicotinamide,en:e375,1
en:nicotinic-acid,en:e375,1
en:cobalamin,en:vitamins,1
en:niacin,en:vitamins,1
en:riboflavin,en:vitamins,1
en:thiamine,en:vitamins,1
en:tocoferol,en:vitamins,1
en:vitamin-and-mineral-blend,en:vitamins,1
en:vitamin-b8,en:vitamins,1
en:ammonium-and-sodium-carbonates,en:e503,1
en:e503i,en:e503,1
nl:vitamines-b2-en-b9,en:thiamin,1
fr:glycerol-d-origine-vegetale,en:e422,1
fr:humectant-glycerol,en:e422,1
en:e331i,en:e331,1
en:e331ii,en:e331,1
nl:smaakversterker-e621,en:e621,1
en:folacin,en:vitamins,1
nl:vitamines-b2-en-b9,en:vitamins,1
en:e420i,en:e420,1
fr:ferments-de-maturation,en:ferment,1
en:pyridoxine-5-phosphate,en:vitamin-b6,1
en:pyridoxine-dipalmitate,en:vitamin-b6,1
ca:carbonat-acid-de-sodi-i-difosfat-de-disodi,en:e450i,1
da:vitamin-a-og-d,en:vitamin-d,1
en:carotene,en:e160,1
fr:extrait-naturel-de-curcuma,en:e100,1
en:e451ii,en:e451,1
en:pentapotassium-triphosphate,en:e451,1
en:pentasodium-triphosphate,en:e451,1
en:e262i,en:e262,1
en:e170i,en:e170,1
en:e170ii,en:e170,1
en:hydroxocobalamin,en:vitamin-b12,1
en:dicalcium-phosphate,en:e341,1
en:e341ii,en:e341,1
en:monocalcium-phosphate,en:e341,1
en:tricalcium-phosphate,en:e341,1
ca:carbonat-acid-de-sodi-i-difosfat-de-disodi,en:e500ii,1
en:elemental-iron,en:iron,1
en:ferric-ammonium-citrate,en:iron,1
en:ferric-orthophosphate,en:iron,1
en:ferric-saccharate,en:iron,1
en:ferric-sodium-edta,en:iron,1
en:ferrous-ammonium-phosphate,en:iron,1
en:ferrous-bisglycinate,en:iron,1
en:ferrous-carbonate,en:iron,1
en:ferrous-citrate,en:iron,1
en:ferrous-l-pidolate,en:iron,1
en:ferrous-lactate,en:iron,1
en:iron-fumarate,en:iron,1
en:iron-gluconate,en:iron,1
en:iron-salts,en:iron,1
en:reduced-iron,en:iron,1
en:kosher-gelatin,en:e428,1
en:ethylvanillin,en:vanillin,1
en:calcium-polyphosphate,en:e452,1
en:e452ii,en:e452,1
en:e452iii,en:e452,1
en:e452iv,en:e452,1
en:e452v,en:e452,1
en:e452vi,en:e452,1
en:potassium-polyphosphate,en:e452,1
en:sodium-polyphosphate,en:e452,1
en:sodium-tripolyphosphate,en:e452,1
en:d-pantothenate-sodium,en:pantothenic-acid,1
en:dexpanthenol,en:pantothenic-acid,1
en:boron,en:minerals,1
en:calcium-gluconate,en:minerals,1
en:chromium,en:minerals,1
en:fluoride,en:minerals,1
en:molybdenum,en:minerals,1
en:vitamin-and-mineral-blend,en:minerals,1
da:vitamin-a-og-d,en:vitamin-a,1
en:beta-carotene,en:vitamin-a,1
en:retinol,en:vitamin-a,1
en:retinyl-acetate,en:vitamin-a,1
en:retinyl-palmitate,en:vitamin-a,1
fi:vitamiini-a-ja-d2,en:vitamin-a,1
en:carnauba-wax-coating-agents,en:e903,1
en:emulsifier-e472e,en:e472e,1
en:e339i,en:e339,1
en:e339iii,en:e339,1
en:cellulase,en:enzyme,1
en:e1104,en:enzyme,1
en:invertase,en:enzyme,1
en:lysozyme,en:enzyme,1
en:protease,en:enzyme,1
en:transglutaminase,en:enzyme,1
en:xylanase,en:enzyme,1
de:quellkohlensäure,en:e290,1
fr:mono-et-diglycerides-d-acides-gras-et-stearoyl-2-lactylate-de-sodium,en:e481,1
en:e333i,en:e333,1
en:e333ii,en:e333,1
en:e333iii,en:e333,1
en:calcium-l-ascorbate,en:vitamin-c,1
en:l-ascorbic-acid,en:vitamin-c,1
en:l-ascorbyl-6-palmitate,en:vitamin-c,1
en:potassium-l-ascorbate,en:vitamin-c,1
en:sodium-l-ascorbate,en:vitamin-c,1
en:e965i,en:e965,1
en:shea-oil,en:shea-butter,1
de:natursauerteig,en:sourdough,1
es:masa-madre-inactiva,en:sourdough,1
fr:levain-lactique,en:sourdough,1
nl:speltzuurdesempoeder,en:sourdough,1
fi:paakkuuntumisenestoaine-e551,en:e551,1
de:süssungsmittel-steviol-glycoside,en:e960,1
en:e501i,en:e501,1
en:e501ii,en:e501,1
en:potassium-carbonate,en:e501,1
en:potassium-hydrogen-carbonate,en:e501,1
de:inulin-aus-topinambur,en:inulin,1
ca:gasificant-e503ii,en:e503ii,1
en:d-alpha-tocopherol,en:vitamin-e,1
